"","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year"
"925406",968337,2011388410,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","12/02/2011 06:09:00 PM","11/21/2011 12:00:00 AM","11/29/2011 12:00:00 AM","9XX BLOCK OF N 98 ST","N","N3","1300.3005",-122.345985413,47.700527191,"(47.700527191, -122.345985413)",12,2011
"453473",324912,2009445606,"1316",3,"THREATS-KILL","1300","THREATS","12/29/2009 09:12:00 PM","12/29/2009 09:12:00 PM","12/29/2009 09:12:00 PM","12XX BLOCK OF E REPUBLICAN ST","E","E1","7500.3000",-122.316229572,47.623112374,"(47.623112374, -122.316229572)",12,2009
"553758",439530,200882922,"1316",4,"THREATS-OTHER","1300","THREATS","03/04/2008 09:52:00 AM","03/03/2008 05:30:00 PM","03/04/2008 09:52:00 AM","127XX BLOCK OF LAKE CITY WY NE","L","L3","100.5004",-122.293641975,47.721986693,"(47.721986693, -122.293641975)",3,2008
"157566",1469737,2009439097,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","12/22/2009 03:49:00 PM","12/22/2009 01:00:00 PM","12/22/2009 01:30:00 PM","12XX BLOCK OF EASTLAKE AV E","D","D3","6600.1041",-122.326644897,47.631340027,"(47.631340027, -122.326644897)",12,2009
"679481",377660,200975386,"2605",0,"FRAUD-CREDIT CARD","2600","FRAUD","03/03/2009 04:20:00 PM","09/28/2008 12:01:00 AM","03/03/2009 12:00:00 PM","59XX BLOCK OF 22 AV S","S","S1","10402.1023",-122.305095624,47.548931606,"(47.548931606, -122.305095624)",3,2009
"824718",842900,2013417105,"5707",0,"TRESPASS","5700","TRESPASS","11/17/2013 10:39:00 PM","11/17/2013 10:39:00 PM","","15XX BLOCK OF NW 54 ST","B","B1","4700.2005",-122.377548218,47.667892456,"(47.667892456, -122.377548218)",11,2013
"753623",733830,2014908437,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/25/2014 03:25:00 PM","10/25/2014 11:05:00 AM","10/25/2014 12:00:00 PM","132XX BLOCK OF AURORA AV N","N","N2","600.1016",-122.344993591,47.725036621,"(47.725036621, -122.344993591)",10,2014
"648398",1352516,2017475604,"X",47,"PROPERTY FOUND","X","STOLEN PROPERTY","12/28/2017 07:59:00 AM","12/28/2017 07:59:00 AM","","8XX BLOCK OF MAYNARD AV S","K","K3","9300.1008",-122.325073242,47.595417023,"(47.595417023, -122.325073242)",12,2017
"850044",872977,2013189842,"2308",0,"THEFT-BUILDING","2300","OTHER PROPERTY","06/03/2013 05:41:00 PM","05/09/2013 11:30:00 AM","05/09/2013 12:30:00 PM","26XX BLOCK OF ALKI AV SW","W","W1","9701.1005",-122.408660889,47.579776764,"(47.579776764, -122.408660889)",6,2013
"631157",1257180,2017297703,"X",51,"RECKLESS BURNING","X","RECKLESS BURNING","08/12/2017 09:21:00 AM","08/12/2017 09:21:00 AM","","9XX BLOCK OF E MADISON ST","E","E2","7500.4023",-122.3203125,47.611354828,"(47.611354828, -122.3203125)",8,2017
"473700",348467,2009292890,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","08/19/2009 02:30:00 PM","08/19/2009 02:30:00 PM","","1XX BLOCK OF NE 130 ST","N","N2","600.1014",-122.32757535,47.723154023,"(47.723154023, -122.32757535)",8,2009
"270220",1597938,201856523,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","02/14/2018 09:47:00 PM","02/14/2018 07:00:00 PM","02/14/2018 08:15:00 PM","115XX BLOCK OF GREENWOOD AV N","N","N1","402.3014",-122.355514526,47.713253021,"(47.713253021, -122.355514526)",2,2018
"76370",1263499,201455882,"2304",2,"THEFT-LICENSE PLATE","2300","OTHER PROPERTY","02/21/2014 08:06:00 AM","02/20/2014 07:00:00 AM","02/21/2014 08:00:00 AM","22XX BLOCK OF 15 AV W","Q","Q1","5802.2003",-122.376144409,47.638168335,"(47.638168335, -122.376144409)",2,2014
"955079",1021658,2016155463,"2204",0,"BURGLARY-NOFORCE-RES","2200","BURGLARY","05/04/2016 11:50:00 PM","05/04/2016 07:30:00 PM","05/04/2016 11:50:00 PM","5XX BLOCK OF 10 AV E","E","E1","7500.3003",-122.319900513,47.623695374,"(47.623695374, -122.319900513)",5,2016
"439493",309002,2010103382,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","03/30/2010 09:44:00 AM","03/28/2010 05:00:00 PM","03/29/2010 11:00:00 AM","64XX BLOCK OF SAND POINT WY NE","U","U3","4200.1000",-122.263620159,47.675421729,"(47.675421729, -122.263620159)",3,2010
"53373",1428489,2010303804,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","08/30/2010 09:30:00 PM","08/30/2010 08:00:00 PM","","44XX BLOCK OF 4 AV S","O","O2","9300.3185",-122.329368591,47.563804626,"(47.563804626, -122.329368591)",8,2010
"131963",1160790,2017107893,"5212",0,"WEAPON-POSSESSION","5200","WEAPON","03/28/2017 01:31:00 AM","03/28/2017 12:16:00 AM","","NE 47 ST / BROOKLYN AV NE","U","U2","5301.2008",-122.314239502,47.663097382,"(47.663097382, -122.314239502)",3,2017
"478589",353931,2009250750,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","07/18/2009 04:15:00 PM","07/17/2009 11:00:00 PM","07/18/2009 09:00:00 AM","115XX BLOCK OF 34 AV NE","L","L3","700.2016",-122.291830952,47.712788615,"(47.712788615, -122.291830952)",7,2009
"503695",384050,200926112,"2605",0,"FRAUD-CREDIT CARD","2600","FRAUD","01/21/2009 10:25:00 PM","01/08/2009 10:30:00 AM","01/08/2009 03:00:00 PM","4XX BLOCK OF NE NORTHGATE WY","L","L2","1200.4010",-122.324615155,47.7086028,"(47.7086028, -122.324615155)",1,2009
"993983",1159102,201795868,"2299",2,"BURGLARY-SECURE PARKING-RES","2299","BURGLARY-SECURE PARKING-RES","03/18/2017 01:08:00 PM","03/16/2017 01:08:00 PM","03/18/2017 10:00:00 AM","5XX BLOCK OF BROADWAY E","E","E1","7401.2003",-122.320930481,47.623699188,"(47.623699188, -122.320930481)",3,2017
"756786",737292,2014375775,"1205",0,"ROBBERY-STREET-WEAPON","1200","ROBBERY","11/09/2014 01:53:00 PM","11/09/2014 01:45:00 PM","","4XX BLOCK OF NE NORTHGATE WY","L","L2","1200.4010",-122.324615479,47.708602905,"(47.708602905, -122.324615479)",11,2014
"202744",1495327,2009266960,"1313",0,"ASSLT-NONAGG","1300","ASSAULT","07/30/2009 06:04:00 PM","07/30/2009 04:00:00 PM","07/30/2009 04:30:00 PM","4XX BLOCK OF 2 AV S","K","K2","9200.2005",-122.33177948,47.601493835,"(47.601493835, -122.33177948)",7,2009
"2818",1035060,2016327998,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","09/10/2016 01:43:00 AM","09/09/2016 09:30:00 PM","09/10/2016 01:35:00 AM","17XX BLOCK OF NE 94 ST","L","L2","2000.1007",-122.308135986,47.696678162,"(47.696678162, -122.308135986)",9,2016
"355569",1612390,2017427912,"2204",0,"BURGLARY-NOFORCE-RES","2200","BURGLARY","11/18/2017 06:34:00 PM","11/18/2017 06:34:00 PM","","74XX BLOCK OF KEEN WY N","J","J3","2700.4026",-122.341430664,47.683197021,"(47.683197021, -122.341430664)",11,2017
"846197",868546,2013903294,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","07/02/2013 07:15:00 AM","06/30/2013 04:05:00 AM","06/30/2013 04:05:00 AM","13XX BLOCK OF 30 AV S","G","G3","9500.1008",-122.293418884,47.591690063,"(47.591690063, -122.293418884)",7,2013
"631047",1257022,2017112910,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","03/31/2017 05:38:00 PM","03/31/2017 05:38:00 PM","","3 AV NW / NW 107 ST","N","N1","1400.2011",-122.360794067,47.706932068,"(47.706932068, -122.360794067)",3,2017
"85470",1113939,201716679,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","01/14/2017 09:02:00 AM","01/12/2017 05:00:00 PM","01/13/2017 08:00:00 PM","15XX BLOCK OF 7 AV","M","M2","8200.1006",-122.333808899,47.612102509,"(47.612102509, -122.333808899)",1,2017
"708422",680050,2015320096,"X",21,"DISTURBANCE-OTH","X","DISTURBANCE","09/12/2015 10:10:00 AM","09/12/2015 10:10:00 AM","","42XX BLOCK OF 12 AV NE","U","U2","5301.3007",-122.315498352,47.65908432,"(47.65908432, -122.315498352)",9,2015
"398853",252674,2011901816,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","05/18/2011 03:06:00 PM","05/16/2011 01:15:00 PM","05/16/2011 05:30:00 PM","20XX BLOCK OF BOYER AV E","C","C2","6200.2031",-122.306426478,47.637524216,"(47.637524216, -122.306426478)",5,2011
"750371",730136,2014909587,"2316",0,"THEFT-MAIL","2300","MAIL THEFT","12/12/2014 11:52:00 AM","12/11/2014 04:25:00 PM","12/12/2014 11:15:00 AM","65XX BLOCK OF 4 AV NW","J","J2","3400.2013",-122.361495972,47.676883698,"(47.676883698, -122.361495972)",12,2014
"532344",416423,2008268162,"1316",4,"THREATS-OTHER","1300","THREATS","07/21/2008 01:50:00 PM","07/21/2008 01:00:00 PM","","14 AV / E CHERRY ST","G","G2","8600.1011",-122.314153979,47.608048673,"(47.608048673, -122.314153979)",7,2008
"319541",1601493,201849079,"5212",0,"WEAPON-POSSESSION","5200","WEAPON","02/08/2018 11:03:00 PM","02/08/2018 11:03:00 PM","","3XX BLOCK OF 9 AV","G","G1","8500.3001",-122.323440552,47.604129791,"(47.604129791, -122.323440552)",2,2018
"95378",1443261,2010184042,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","06/02/2010 01:07:00 PM","05/27/2010 01:07:00 PM","","16XX BLOCK OF S HOLGATE ST","R","R1","9400.5017",-122.311042786,47.586353302,"(47.586353302, -122.311042786)",6,2010
"530186",414323,2008285309,"1313",0,"ASSLT-NONAGG","1300","ASSAULT","08/02/2008 03:45:00 PM","08/02/2008 02:45:00 PM","","5XX BLOCK OF QUEEN ANNE AV N","Q","Q3","7100.2007",-122.356714535,47.623929893,"(47.623929893, -122.356714535)",8,2008
